Region,Atmospheric Conditions,Fatalities in crash,Roadway,Roadway Area,Roadway Type,Road Type - Category,Age,Alcohol Results,Driver Over Federal Limit?,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.month
South,Rain,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,49,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Non-incapacitating Evident Injury (B),1
South,Rain,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,19,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
South,Clear,1,Urban-Collector,Urban,Collector,Unknown,47,0.27,No,Pedestrian,Unknown,White,Male,Fatal Injury (K),1
South,Clear,1,Urban-Collector,Urban,Collector,Unknown,Unknown,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
South,Clear,1,Urban-Collector,Urban,Collector,Unknown,42,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,No Injury (O),1
West,Clear,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,24,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
West,Clear,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,27,0,No,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,No Injury (O),1
West,Clear,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,82,0,No,Pedestrian,No,Unknown,Female,Fatal Injury (K),1
West,Clear,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,7,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
West,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,41,0.25,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Possible Injury (C),1
West,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,37,0.23,No,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),1
West,Clear,1,Rural-Major Collector,Rural,Major Collector,Unknown,25,0.27,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Fatal Injury (K),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,0,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
West,Clear,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,26,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
West,Clear,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,21,0.11,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
West,Clear,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,28,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
West,Clear,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,29,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Possible Injury (C),1
West,Clear,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,30,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
West,Clear,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,32,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
West,Clear,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,65,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),1
West,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,24,0,No,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Fatal Injury (K),1
West,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,29,0,No,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Possible Injury (C),1
